montant_xof,heure,type_operation,anciennete_compte_j,nb_tx_24h,fraude
3860,20,paiement,463,3,0
1780,12,paiement,684,3,0
26750,17,transfert,1762,5,0
6430,16,retrait,1218,1,0
5630,14,paiement,1075,4,0
10400,15,retrait,650,4,0
15050,10,transfert,149,5,0
12480,10,paiement,1899,5,0
13080,14,paiement,1798,3,0
2480,15,transfert,1011,3,0
2340,19,transfert,808,6,0
8150,15,transfert,1675,4,0
5190,8,retrait,530,3,0
4880,16,transfert,978,2,0
1060,12,transfert,1985,7,0
2380,16,retrait,321,3,0
950,10,retrait,313,7,0
2270,9,transfert,94,4,0
11040,16,paiement,1654,2,0
4230,16,transfert,1078,1,0
2250,16,paiement,49,2,0
13310,10,transfert,849,5,0
1420,12,transfert,1098,2,0
1020,14,transfert,979,3,0
9340,17,paiement,1945,2,0
3840,14,paiement,1705,1,0
3530,12,transfert,339,3,0
4170,6,transfert,792,1,0
6190,12,transfert,1691,2,0
38590,21,paiement,638,3,0
7180,12,retrait,1363,4,0
5040,14,paiement,350,1,0
3530,8,retrait,878,3,0
14970,9,paiement,434,4,0
7530,19,retrait,670,2,0
6970,14,transfert,403,3,0
22810,14,transfert,1112,3,0
4430,11,transfert,932,2,0
12170,5,paiement,1353,3,0
4360,9,transfert,449,1,0
1340,19,paiement,1266,4,0
17710,16,paiement,1340,4,0
6220,15,transfert,893,5,0
2050,6,paiement,1206,4,0
11220,11,paiement,1041,4,0
2870,18,retrait,1833,1,0
12080,13,transfert,1672,2,0
4930,3,transfert,1209,2,0
11860,9,paiement,835,3,0
10620,17,retrait,909,1,0
26440,6,paiement,1492,3,0
8200,18,paiement,564,3,0
6490,5,transfert,1772,3,0
610,9,transfert,788,6,0
2020,6,transfert,1766,2,0
2690,9,paiement,510,3,0
18930,11,retrait,1367,3,0
3560,14,retrait,1402,5,0
13140,16,retrait,1559,5,0
6730,16,transfert,1512,3,0
12580,2,retrait,827,1,0
2190,11,paiement,974,5,0
2500,13,transfert,1228,3,0
4170,16,retrait,1689,2,0
5400,11,paiement,1109,4,0
2390,20,transfert,713,2,0
18440,12,retrait,1097,4,0
6980,9,retrait,1741,4,0
8180,13,paiement,1112,4,0
1000,12,transfert,1652,1,0
6730,13,transfert,1554,2,0
2960,7,retrait,1653,4,0
3310,20,transfert,215,9,0
1010,16,paiement,1923,3,0
1940,18,paiement,1037,0,0
1020,7,paiement,166,3,0
12700,14,paiement,761,4,0
9240,13,transfert,1899,3,0
3080,14,transfert,1949,1,0
3570,19,paiement,113,3,0
820,5,transfert,1823,6,0
5850,10,transfert,161,3,0
5100,0,retrait,1376,3,0
9130,9,transfert,1249,3,0
21440,9,retrait,632,3,0
4450,10,transfert,1971,1,0
201820,0,retrait,2,13,1
10570,20,paiement,972,3,0
4250,18,retrait,809,3,0
5980,14,transfert,422,0,0
19250,15,retrait,61,5,0
3740,14,transfert,849,8,0
5350,14,paiement,289,4,0
17040,21,transfert,761,5,0
45770,23,transfert,1510,2,0
2460,10,transfert,423,4,0
7230,19,paiement,1551,6,0
30370,12,transfert,119,3,0
6470,10,paiement,1710,5,0
5530,14,paiement,1847,3,0
1740,16,transfert,1717,5,0
2830,7,paiement,684,1,0
22690,18,paiement,612,5,0
7510,21,paiement,888,2,0
5000,14,retrait,1879,2,0
1970,17,paiement,914,2,0
6230,16,paiement,379,1,0
4120,19,retrait,521,4,0
4320,10,transfert,1882,4,0
6550,14,paiement,1475,4,0
5110,12,paiement,1749,5,0
3960,14,paiement,742,2,0
9200,17,transfert,1731,5,0
2620,17,paiement,257,0,0
1870,14,transfert,1798,3,0
5290,11,paiement,1674,3,0
18860,15,transfert,573,1,0
4330,10,transfert,1876,3,0
2570,10,transfert,1553,0,0
1630,16,transfert,1882,0,0
11170,13,retrait,904,4,0
3260,14,retrait,337,3,0
10990,12,paiement,945,2,0
4030,13,transfert,814,3,0
3440,12,transfert,1015,3,0
6660,12,transfert,1662,3,0
6270,15,paiement,290,5,0
1000,11,paiement,159,5,0
17180,12,transfert,1390,2,0
2920,13,paiement,1665,3,0
3470,8,paiement,1720,4,0
11640,6,paiement,151,3,0
1730,12,paiement,655,1,0
1340,17,paiement,684,7,0
7900,12,transfert,1475,2,0
6520,18,paiement,1611,3,0
10680,15,transfert,307,2,0
2320,14,paiement,1979,0,0
1940,14,paiement,723,6,0
4950,22,transfert,76,2,0
8100,23,paiement,957,3,0
6340,23,paiement,597,2,0
9090,13,paiement,1332,3,0
2720,15,retrait,391,2,0
14410,15,retrait,980,6,0
1720,15,paiement,744,3,0
5540,13,retrait,1461,6,0
3980,14,retrait,671,2,0
4560,1,paiement,1791,3,0
288590,0,transfert,74,15,1
19990,9,retrait,474,2,0
2400,13,paiement,1785,3,0
6270,18,transfert,748,3,0
3670,19,retrait,212,5,0
6320,7,transfert,586,3,0
4810,15,paiement,124,3,0
22490,18,paiement,1954,3,0
2620,18,retrait,1073,9,0
17870,14,paiement,1172,3,0
4910,11,paiement,254,4,0
2370,22,paiement,927,2,0
2940,10,transfert,249,2,0
5420,12,transfert,453,0,0
2280,9,transfert,1366,2,0
12780,14,paiement,1240,3,0
12400,11,retrait,738,2,0
19680,7,retrait,954,2,0
7040,12,transfert,703,1,0
860,17,transfert,77,1,0
21090,12,retrait,1675,2,0
2470,14,paiement,1872,2,0
4450,14,paiement,58,1,0
7700,16,paiement,1679,3,0
2270,17,transfert,788,4,0
12710,1,retrait,427,1,0
8500,16,retrait,1064,3,0
8780,16,transfert,357,1,0
3880,11,transfert,364,1,0
24430,9,transfert,73,1,0
7910,14,paiement,996,1,0
7070,8,paiement,684,5,0
39200,13,transfert,1236,0,0
2850,17,transfert,763,1,0
2990,22,transfert,1248,1,0
1040,21,paiement,835,4,0
1600,11,transfert,421,2,0
4170,7,paiement,1407,3,0
4210,9,paiement,1826,1,0
2370,7,retrait,507,1,0
5910,9,paiement,90,2,0
1470,17,paiement,269,5,0
2100,12,paiement,1587,4,0
8140,10,transfert,1438,1,0
1180,19,retrait,638,2,0
11970,19,retrait,1775,1,0
3440,12,transfert,659,1,0
3540,2,transfert,10,12,1
2380,7,paiement,1953,7,0
14400,17,transfert,437,3,0
3130,8,paiement,421,6,0
1260,9,paiement,987,1,0
6200,14,paiement,1721,5,0
36270,14,transfert,266,3,0
14380,8,transfert,1629,3,0
10520,18,paiement,1749,1,0
14360,13,paiement,361,4,0
15490,13,retrait,1427,3,0
6800,16,paiement,833,1,0
12820,19,paiement,520,4,0
24470,3,transfert,4,15,1
3100,13,paiement,849,1,0
12950,13,transfert,951,5,0
14730,17,paiement,1695,1,0
2400,0,retrait,237,4,0
6880,16,paiement,1419,2,0
2040,17,transfert,1838,1,0
9990,8,paiement,920,6,0
8800,6,paiement,1571,4,0
6500,13,paiement,66,4,0
3770,8,paiement,471,6,0
13540,9,retrait,1834,3,0
22900,13,paiement,896,2,0
3610,14,retrait,1962,7,0
15200,13,transfert,840,2,0
2810,11,retrait,443,5,0
15740,14,transfert,1251,5,0
9390,16,transfert,1850,8,0
5250,14,transfert,1867,4,0
620,11,transfert,843,2,0
7370,16,paiement,201,2,0
8180,12,paiement,513,2,0
21680,16,paiement,904,1,0
2130,18,transfert,426,2,0
22120,21,paiement,648,3,0
1840,17,transfert,1663,3,0
13490,10,transfert,1670,5,0
3520,13,paiement,793,5,0
3430,0,paiement,779,2,0
2830,17,retrait,1085,5,0
233420,2,retrait,13,16,1
3920,18,paiement,1875,2,0
6810,18,paiement,407,4,0
1740,17,retrait,1487,2,0
22030,14,retrait,1417,4,0
5240,10,retrait,229,3,0
12450,18,retrait,1177,1,0
3000,9,paiement,78,2,0
10250,16,paiement,1555,5,0
3940,17,paiement,1457,4,0
2870,14,paiement,1355,2,0
18930,13,transfert,929,2,0
5700,13,paiement,1590,3,0
4010,10,transfert,1725,3,0
3120,8,retrait,1741,3,0
1760,18,paiement,552,1,0
1620,14,paiement,655,2,0
6100,15,transfert,1725,1,0
3380,17,paiement,1499,3,0
2160,9,retrait,968,4,0
8940,10,retrait,1991,3,0
4340,15,retrait,1682,2,0
490,14,transfert,1253,2,0
16810,13,paiement,874,5,0
2260,7,paiement,430,2,0
1340,11,transfert,1291,5,0
3490,11,paiement,1850,2,0
6010,18,transfert,62,2,0
1230,16,retrait,288,4,0
700,11,transfert,1443,4,0
2090,13,paiement,1461,2,0
3010,17,paiement,1020,4,0
13730,12,paiement,929,1,0
2450,8,transfert,1057,4,0
9030,13,paiement,601,2,0
5210,7,retrait,1576,2,0
5220,11,retrait,547,6,0
22490,12,paiement,155,1,0
25370,13,paiement,539,6,0
27880,15,transfert,449,4,0
3080,12,paiement,208,4,0
4650,13,transfert,1599,2,0
2980,12,paiement,388,2,0
10630,15,paiement,916,3,0
21480,16,paiement,1211,5,0
3010,10,paiement,483,2,0
5310,20,transfert,1059,3,0
4580,4,paiement,999,5,0
5770,15,paiement,165,2,0
6190,12,paiement,1527,1,0
4020,18,paiement,627,3,0
1840,15,paiement,1282,3,0
1830,13,retrait,1637,3,0
13720,23,paiement,811,2,0
24640,14,paiement,1107,2,0
7080,13,paiement,1315,1,0
3410,6,paiement,629,4,0
20640,13,paiement,1619,2,0
890,13,paiement,881,2,0
79490,8,transfert,556,3,0
12040,7,paiement,906,2,0
4710,15,transfert,1157,4,0
21840,18,retrait,177,2,0
320240,4,transfert,46,10,1
7880,19,paiement,221,1,0
4430,18,transfert,1895,3,0
8230,16,transfert,634,1,0
7230,11,retrait,1966,5,0
2540,5,transfert,687,2,0
45150,15,transfert,1068,5,0
4370,16,paiement,1065,1,0
990,15,retrait,1934,4,0
1790,17,transfert,632,2,0
1540,9,transfert,664,2,0
4770,22,retrait,620,0,0
8670,11,transfert,458,1,0
8940,10,paiement,1793,6,0
22940,3,transfert,8,9,1
8880,13,transfert,624,2,0
4190,10,transfert,308,2,0
3170,18,transfert,1088,4,0
5720,17,retrait,1983,6,0
5970,12,retrait,784,3,0
5540,13,transfert,528,1,0
17220,17,paiement,1447,0,0
1990,15,retrait,493,3,0
8930,3,transfert,1,19,1
1810,17,paiement,1546,3,0
1290,14,transfert,431,1,0
7540,3,transfert,1815,1,0
314490,1,transfert,83,10,1
12320,17,paiement,741,1,0
5590,14,paiement,1637,5,0
1840,12,paiement,62,2,0
5220,5,paiement,1920,4,0
296650,4,retrait,18,12,1
3540,16,retrait,784,2,0
25680,19,transfert,87,1,0
5230,21,paiement,287,3,0
10050,19,paiement,458,3,0
9930,15,paiement,324,3,0
14060,13,retrait,1867,1,0
3480,17,transfert,1438,4,0
2230,13,transfert,78,2,0
7350,15,transfert,111,3,0
1900,10,retrait,1720,4,0
10000,15,transfert,294,2,0
14600,18,paiement,454,4,0
6290,8,paiement,1930,4,0
5490,11,paiement,1908,4,0
2740,9,retrait,1086,3,0
7530,19,paiement,91,3,0
5200,18,transfert,1635,2,0
5450,14,paiement,911,1,0
2890,15,paiement,660,4,0
1980,13,paiement,1710,1,0
670,12,paiement,1072,4,0
33670,19,retrait,1460,7,0
4100,8,paiement,1388,2,0
1670,18,paiement,393,3,0
4630,7,paiement,1453,6,0
1520,12,paiement,557,2,0
20250,16,paiement,98,3,0
5960,20,paiement,246,5,0
1870,16,retrait,414,4,0
770,23,retrait,1488,2,0
7840,10,paiement,1457,5,0
8060,15,paiement,916,3,0
2320,8,paiement,1774,0,0
930,17,transfert,1030,2,0
4020,12,paiement,228,2,0
5160,17,paiement,1541,6,0
5630,7,transfert,60,4,0
4100,11,transfert,1001,0,0
6590,13,paiement,727,3,0
4920,21,paiement,363,1,0
11620,14,paiement,675,1,0
6120,16,retrait,1769,2,0
3470,17,retrait,1883,7,0
17110,14,transfert,153,2,0
2280,14,paiement,1496,7,0
3480,4,transfert,11,14,1
7300,5,retrait,742,3,0
8170,20,transfert,87,4,0
4430,16,paiement,133,0,0
9320,2,paiement,1497,1,0
2030,10,transfert,1312,2,0
5170,15,transfert,44,1,0
740,22,retrait,1357,1,0
530,7,transfert,732,3,0
9490,16,retrait,1782,2,0
35120,11,transfert,1492,2,0
10360,18,retrait,577,4,0
6680,12,paiement,1780,4,0
3730,18,paiement,866,6,0
1700,13,retrait,1540,5,0
23580,22,paiement,278,2,0
5310,12,transfert,1938,1,0
950,11,retrait,406,2,0
10940,9,retrait,558,1,0
9280,18,retrait,1305,4,0
6140,10,paiement,1256,0,0
8780,13,paiement,866,4,0
3670,10,paiement,466,2,0
8350,16,retrait,1713,1,0
7000,15,transfert,488,4,0
2930,16,paiement,1997,0,0
12460,12,transfert,1806,1,0
10080,9,retrait,936,4,0
5470,10,transfert,314,3,0
18690,4,transfert,8,20,1
22170,10,paiement,1642,2,0
850,22,paiement,1284,2,0
4940,17,transfert,1827,4,0
2530,8,paiement,1399,4,0
4410,17,transfert,1890,3,0
5740,14,paiement,200,1,0
31570,15,transfert,862,2,0
9230,16,retrait,593,1,0
15750,12,transfert,1861,2,0
2930,7,transfert,476,2,0
11030,10,paiement,1787,2,0
26830,7,transfert,325,1,0
13630,11,paiement,1598,1,0
15780,12,paiement,1303,1,0
28160,19,transfert,1752,0,0
6750,16,paiement,1048,3,0
8220,16,paiement,588,3,0
1250,10,paiement,37,4,0
2650,9,paiement,894,1,0
326340,0,retrait,69,9,1
2720,12,retrait,1620,3,0
8860,14,paiement,499,2,0
4610,18,retrait,1367,2,0
960,16,paiement,32,5,0
3100,10,transfert,1814,4,0
1900,15,paiement,595,3,0
8590,0,paiement,1466,7,0
970,12,retrait,646,2,0
4140,8,paiement,1605,3,0
4450,19,paiement,494,7,0
2900,11,transfert,827,2,0
16580,7,paiement,1937,2,0
1480,5,transfert,171,4,0
1380,17,retrait,1278,3,0
2270,7,paiement,1168,2,0
11140,12,paiement,409,2,0
2780,9,paiement,1888,3,0
11310,13,retrait,785,3,0
1320,12,paiement,104,2,0
7160,15,paiement,849,2,0
3380,9,retrait,1242,2,0
29710,18,paiement,823,4,0
830,12,transfert,1010,4,0
3040,15,paiement,1768,0,0
470,8,paiement,1644,5,0
5550,15,paiement,279,4,0
4380,11,transfert,889,3,0
9530,14,retrait,1689,3,0
4010,13,retrait,1172,4,0
7740,16,paiement,772,1,0
2690,10,retrait,580,3,0
15720,11,transfert,1639,4,0
1900,12,transfert,590,4,0
30710,15,transfert,807,3,0
12700,13,transfert,1861,2,0
7030,12,retrait,1888,3,0
4900,11,paiement,390,3,0
6420,8,transfert,1126,4,0
1250,17,paiement,209,3,0
7100,12,paiement,426,3,0
7610,12,paiement,1449,3,0
8900,21,retrait,271,4,0
6980,13,paiement,937,3,0
18760,18,paiement,1893,2,0
11590,17,paiement,902,2,0
3690,16,retrait,1051,4,0
12900,18,paiement,1723,2,0
3840,17,transfert,220,4,0
17100,12,transfert,479,5,0
1500,14,retrait,1097,4,0
1990,14,retrait,391,2,0
1570,13,paiement,1032,3,0
3010,12,paiement,1793,4,0
161520,2,transfert,31,10,1
2450,21,retrait,1813,2,0
10630,15,paiement,1630,5,0
1140,12,paiement,1349,0,0
3680,4,paiement,661,2,0
3490,16,paiement,1524,2,0
1600,16,transfert,1103,4,0
1600,13,retrait,342,3,0
8210,12,paiement,1830,3,0
880,15,paiement,160,1,0
8640,13,paiement,1078,2,0
9210,10,paiement,1159,4,0
7420,22,retrait,810,3,0
26000,12,retrait,678,0,0
1590,14,transfert,1970,5,0
620,12,paiement,1170,4,0
550,16,transfert,205,3,0
2740,12,retrait,593,2,0
1000,15,paiement,350,3,0
890,19,paiement,457,4,0
9400,11,paiement,1100,2,0
8530,10,paiement,849,2,0
15050,18,paiement,936,1,0
7640,2,transfert,1,18,1
7500,16,paiement,1672,4,0
4590,14,retrait,1695,1,0
12880,14,retrait,1671,3,0
18370,3,transfert,2,15,1
5030,13,paiement,1441,8,0
7550,8,transfert,1738,5,0
1780,17,retrait,1136,1,0
730,13,transfert,1504,8,0
1130,11,paiement,1676,2,0
7660,12,retrait,606,6,0
2240,14,transfert,1016,4,0
15240,15,paiement,1272,2,0
3060,17,transfert,215,5,0
39130,13,transfert,761,5,0
1850,22,retrait,124,6,0
7740,11,paiement,1831,9,0
3210,14,retrait,1924,2,0
16140,9,paiement,316,1,0
5070,11,retrait,1680,3,0
4360,12,paiement,1519,2,0
5720,17,retrait,1621,1,0
5880,13,transfert,1688,3,0
3760,18,transfert,373,6,0
18360,22,transfert,1013,1,0
7940,20,transfert,308,3,0
3800,15,transfert,226,0,0
11880,16,paiement,42,1,0
2660,6,paiement,1176,1,0
6880,10,paiement,832,1,0
22420,11,paiement,1618,3,0
9310,1,transfert,1172,2,0
2870,13,paiement,1845,2,0
56250,17,transfert,1923,2,0
9100,14,retrait,1965,5,0
7410,13,paiement,1506,5,0
1990,9,paiement,1709,3,0
8880,14,paiement,319,3,0
28920,11,paiement,781,4,0
3460,23,paiement,744,3,0
5170,16,transfert,1126,4,0
5860,13,paiement,1070,4,0
9980,10,paiement,1370,3,0
6560,10,paiement,1678,2,0
10070,15,paiement,601,0,0
1080,8,paiement,877,5,0
1310,12,paiement,849,2,0
23790,13,paiement,1891,4,0
11660,13,retrait,816,3,0
2840,13,paiement,605,3,0
25520,11,transfert,1544,3,0
1750,9,transfert,238,2,0
4650,11,paiement,722,2,0
1720,16,paiement,1811,5,0
12210,16,retrait,1830,5,0
8780,14,paiement,196,1,0
3960,16,paiement,66,4,0
790,13,retrait,616,4,0
5440,15,paiement,606,5,0
6280,11,paiement,1355,4,0
11430,10,paiement,522,4,0
21080,4,transfert,5,17,1
4430,14,paiement,1714,4,0
2140,13,transfert,91,2,0
5060,14,retrait,813,2,0
1450,16,retrait,364,1,0
2860,6,transfert,888,4,0
970,18,paiement,648,1,0
13450,19,retrait,1467,1,0
32500,8,retrait,1078,2,0
15240,15,retrait,796,0,0
1570,15,paiement,1492,5,0
2180,17,paiement,1073,2,0
3540,16,transfert,1228,3,0
5120,16,paiement,266,4,0
3980,16,paiement,1082,4,0
1370,7,transfert,1926,2,0
3160,13,transfert,889,4,0
2040,10,transfert,109,1,0
2470,12,paiement,1874,4,0
1270,9,transfert,600,1,0
8880,13,paiement,1338,1,0
2290,12,paiement,1528,0,0
5520,4,transfert,647,3,0
3810,17,transfert,738,2,0
17440,13,transfert,220,4,0
1020,10,transfert,455,5,0
12820,12,paiement,1962,2,0
1630,19,transfert,1401,1,0
8360,0,transfert,1034,2,0
11000,7,retrait,899,0,0
7720,14,transfert,169,4,0
7600,16,paiement,1426,1,0
3090,9,paiement,1031,2,0
1190,10,retrait,1501,3,0
2580,13,retrait,278,7,0
4820,16,paiement,1576,3,0
9470,16,paiement,951,2,0
1420,14,paiement,585,1,0
3790,14,paiement,923,5,0
790,9,transfert,1174,2,0
7860,3,paiement,1335,4,0
5910,10,paiement,1919,7,0
13100,23,paiement,442,0,0
580,14,paiement,1961,2,0
6880,19,transfert,325,2,0
227320,4,transfert,88,8,1
2690,14,retrait,1924,2,0
1190,11,paiement,1318,3,0
6200,12,transfert,256,3,0
7480,13,paiement,1925,4,0
910,14,paiement,463,2,0
3130,14,transfert,1317,1,0
