anciennete_mois,forfait,facture_mensuelle_xof,appels_support,data_go_mois,retards_paiement,churn
30,Prepaye,4400.0,2,18.3,2,0
6,Prepaye,10500.0,0,38.5,0,0
46,Prepaye,17100.0,2,34.1,1,1
26,Mensuel,9300.0,2,10.4,1,0
2,Prepaye,13900.0,2,19.3,0,1
4,Prepaye,13300.0,1,30.0,0,0
72,Mensuel,17600.0,2,26.3,1,1
36,Mensuel,4800.0,1,15.0,1,0
12,Prepaye,8900.0,3,45.0,2,1
9,Prepaye,7200.0,1,37.5,1,0
69,Mensuel,24800.0,2,18.6,0,0
4,Mensuel,20000.0,1,40.7,1,0
8,Prepaye,23100.0,1,44.6,1,1
1,Mensuel,12300.0,0,47.9,1,0
28,Prepaye,8300.0,2,21.9,0,0
15,Prepaye,3100.0,4,48.1,0,0
72,Mensuel,24600.0,1,22.1,1,0
72,Prepaye,20200.0,6,24.1,1,1
27,Prepaye,15000.0,2,0.9,0,0
7,Mensuel,7100.0,2,5.2,0,1
16,Mensuel,4700.0,1,46.0,1,0
12,Prepaye,19300.0,3,39.5,0,1
11,Mensuel,7500.0,0,46.0,0,0
6,Prepaye,2800.0,0,43.4,0,0
21,Prepaye,15300.0,2,18.0,3,0
16,Prepaye,6700.0,1,16.9,1,1
2,Annuel,13700.0,3,34.8,2,0
19,Prepaye,11800.0,0,6.8,1,0
18,Prepaye,24400.0,1,15.5,0,1
32,Annuel,7200.0,3,15.5,0,0
41,Prepaye,10500.0,4,29.7,1,0
30,Prepaye,20000.0,2,13.6,1,0
35,Prepaye,13800.0,1,46.7,2,0
61,Mensuel,18800.0,2,10.2,0,0
72,Annuel,18100.0,3,19.3,0,0
32,Prepaye,2600.0,1,35.3,1,0
30,Mensuel,14600.0,1,25.5,2,0
20,Prepaye,5000.0,1,15.8,0,0
27,Mensuel,7800.0,4,33.9,0,0
9,Prepaye,10100.0,1,36.8,0,1
37,Prepaye,12000.0,2,19.0,2,0
6,Prepaye,19300.0,0,14.3,0,0
72,Prepaye,13900.0,0,48.5,0,0
33,Mensuel,11700.0,1,13.6,0,0
8,Prepaye,17100.0,2,4.2,1,1
22,Mensuel,16900.0,1,48.3,0,0
30,Mensuel,9200.0,1,43.4,1,0
70,Mensuel,22300.0,0,29.6,2,1
21,Prepaye,12400.0,3,33.8,1,1
14,Prepaye,19200.0,2,22.0,1,0
23,Mensuel,7600.0,1,10.4,2,0
6,Prepaye,7700.0,0,23.2,1,0
3,Annuel,21300.0,4,31.0,2,1
12,Annuel,15400.0,1,18.7,3,0
7,Mensuel,11800.0,3,41.3,0,0
1,Prepaye,13600.0,0,24.8,1,0
13,Mensuel,8000.0,0,8.4,0,0
27,Annuel,20700.0,1,14.8,0,0
18,Mensuel,10200.0,3,45.7,1,0
17,Annuel,22200.0,0,19.9,1,0
47,Mensuel,21300.0,3,8.4,1,0
7,Prepaye,5800.0,0,36.1,1,0
3,Prepaye,5800.0,1,18.0,0,1
18,Mensuel,7600.0,0,19.9,0,0
72,Mensuel,14800.0,1,27.3,2,0
13,Annuel,16500.0,1,30.5,0,0
4,Mensuel,6700.0,2,25.6,0,1
38,Prepaye,12900.0,3,1.0,1,0
42,Mensuel,13200.0,2,9.6,2,1
12,Mensuel,22700.0,0,3.8,1,0
72,Prepaye,16900.0,0,19.1,1,0
20,Prepaye,7100.0,1,3.9,0,0
31,Mensuel,18300.0,0,11.3,1,1
40,Mensuel,14600.0,0,38.4,2,0
18,Prepaye,17400.0,2,10.2,4,0
53,Mensuel,16500.0,0,24.0,1,0
10,Prepaye,6900.0,2,9.8,0,0
12,Mensuel,17200.0,1,34.8,0,0
25,Prepaye,8200.0,0,34.9,0,0
8,Mensuel,20700.0,2,4.9,1,0
1,Prepaye,2800.0,1,28.1,0,0
10,Annuel,22400.0,4,12.8,1,1
72,Prepaye,19200.0,3,2.5,0,1
1,Prepaye,20000.0,1,32.9,0,1
35,Mensuel,19500.0,0,41.9,1,0
48,Mensuel,15400.0,4,11.8,3,0
6,Annuel,24600.0,3,3.1,1,0
12,Annuel,5800.0,3,14.1,0,0
22,Prepaye,18200.0,3,1.4,2,1
39,Annuel,14300.0,1,8.1,1,0
22,Mensuel,10200.0,0,2.1,0,0
23,Annuel,22300.0,1,43.2,1,0
9,Mensuel,24900.0,0,44.9,2,0
2,Prepaye,3500.0,4,19.6,0,1
7,Prepaye,8200.0,0,8.8,0,0
35,Annuel,12100.0,1,16.6,0,0
4,Prepaye,10200.0,1,10.9,1,1
48,Prepaye,3900.0,1,28.4,1,0
17,Prepaye,16400.0,1,4.6,1,0
2,Prepaye,12500.0,3,43.2,0,1
44,Annuel,22500.0,1,24.7,1,0
44,Prepaye,21800.0,1,23.0,1,1
72,Prepaye,15100.0,2,11.9,1,0
4,Mensuel,6300.0,1,9.6,1,0
72,Mensuel,5300.0,2,4.8,2,1
27,Prepaye,7000.0,1,13.5,0,0
38,Mensuel,19300.0,0,23.2,0,1
16,Annuel,2900.0,1,12.3,1,0
35,Prepaye,13200.0,3,20.2,1,1
6,Prepaye,13700.0,3,3.0,0,0
14,Mensuel,5700.0,0,22.7,0,1
31,Prepaye,16000.0,1,19.3,1,0
4,Mensuel,7400.0,3,3.8,0,0
18,Mensuel,7400.0,1,48.1,2,0
28,Prepaye,21500.0,3,14.4,1,0
30,Mensuel,24800.0,1,4.4,0,0
11,Mensuel,23500.0,0,18.9,1,1
5,Mensuel,5500.0,2,12.7,1,0
34,Mensuel,22800.0,2,0.8,0,0
13,Prepaye,22300.0,3,13.9,0,1
11,Prepaye,21100.0,0,36.9,1,0
9,Mensuel,12000.0,0,6.3,2,0
26,Annuel,20900.0,3,16.7,0,0
39,Prepaye,15300.0,1,49.0,0,1
22,Mensuel,2700.0,2,9.0,1,0
41,Annuel,8000.0,2,3.0,0,0
15,Prepaye,16100.0,1,18.3,2,1
11,Mensuel,9500.0,0,4.7,1,0
7,Prepaye,20600.0,2,15.5,1,0
28,Mensuel,2800.0,1,8.5,2,0
2,Prepaye,4700.0,3,18.1,1,0
41,Mensuel,10600.0,1,18.1,0,0
26,Prepaye,11100.0,0,8.3,1,0
5,Annuel,14800.0,1,36.7,1,0
66,Annuel,16600.0,2,26.8,1,0
42,Prepaye,21200.0,2,19.3,1,0
16,Mensuel,9100.0,1,2.4,0,1
72,Annuel,11100.0,2,40.4,1,0
8,Annuel,2600.0,3,47.0,0,0
7,Prepaye,14600.0,1,9.0,0,0
55,Prepaye,11000.0,0,1.3,1,1
7,Prepaye,21200.0,1,12.0,2,1
1,Mensuel,11000.0,0,29.4,0,0
9,Prepaye,15500.0,2,14.1,1,0
12,Mensuel,3200.0,3,11.7,2,1
10,Annuel,3900.0,0,37.7,0,0
15,Prepaye,11100.0,1,28.8,2,1
8,Prepaye,11400.0,1,2.2,0,0
6,Mensuel,8000.0,3,20.9,0,0
42,Mensuel,21000.0,1,37.0,0,0
8,Prepaye,24800.0,0,49.4,3,0
9,Prepaye,16200.0,1,16.8,2,0
29,Mensuel,14800.0,1,41.0,0,0
72,Prepaye,6800.0,1,43.3,0,1
72,Mensuel,21500.0,1,29.9,1,0
14,Prepaye,19700.0,1,12.0,2,1
4,Mensuel,21500.0,0,36.8,0,0
64,Prepaye,12700.0,0,4.5,0,1
24,Prepaye,14600.0,0,15.1,2,0
21,Mensuel,13500.0,0,4.9,1,0
13,Prepaye,18400.0,1,35.0,3,0
9,Prepaye,8300.0,0,33.3,1,1
32,Prepaye,17300.0,1,7.2,0,0
61,Mensuel,4400.0,3,0.5,1,1
1,Mensuel,21600.0,3,27.7,0,1
12,Prepaye,4200.0,1,9.3,1,0
50,Annuel,15400.0,2,20.4,2,1
25,Prepaye,15300.0,4,36.6,1,1
9,Prepaye,16200.0,1,6.7,1,0
22,Mensuel,4000.0,0,5.7,1,0
25,Mensuel,3000.0,2,15.7,2,0
32,Prepaye,16700.0,1,35.2,1,0
1,Prepaye,3300.0,2,33.9,0,0
15,Prepaye,23500.0,1,29.4,1,1
10,Mensuel,5700.0,3,20.3,0,0
13,Prepaye,17200.0,2,40.8,3,0
23,Mensuel,11200.0,1,19.9,0,0
6,Prepaye,14700.0,3,40.2,1,0
58,Prepaye,8800.0,0,8.0,0,0
3,Annuel,19400.0,2,24.1,2,1
68,Prepaye,22100.0,1,36.2,0,0
18,Mensuel,23500.0,4,49.1,0,0
8,Prepaye,12100.0,2,30.2,1,0
15,Prepaye,20900.0,2,40.1,2,0
22,Prepaye,24000.0,2,31.5,1,1
23,Mensuel,14000.0,1,4.5,0,0
5,Prepaye,10900.0,0,20.2,1,1
44,Prepaye,13600.0,0,4.0,1,0
20,Annuel,3100.0,0,2.7,0,0
25,Prepaye,23800.0,2,8.9,0,1
18,Prepaye,10200.0,3,19.4,1,1
27,Mensuel,11400.0,1,1.7,0,0
3,Annuel,15800.0,2,12.2,0,1
39,Mensuel,14600.0,2,14.4,0,0
72,Prepaye,22100.0,1,20.3,0,0
5,Mensuel,9700.0,2,41.7,2,0
4,Prepaye,14600.0,1,49.8,0,0
13,Prepaye,5700.0,4,18.1,1,0
11,Mensuel,15200.0,0,23.9,1,0
33,Prepaye,10200.0,2,34.9,2,0
17,Prepaye,8000.0,2,14.8,0,0
9,Mensuel,2600.0,2,23.8,0,0
20,Prepaye,14000.0,1,1.6,2,0
40,Prepaye,19200.0,2,13.8,0,1
9,Mensuel,15500.0,2,4.8,0,0
6,Prepaye,11200.0,1,32.6,3,1
53,Prepaye,15000.0,5,44.0,0,1
55,Prepaye,7100.0,0,43.0,1,0
35,Mensuel,9200.0,1,48.8,2,0
35,Mensuel,24200.0,1,33.7,1,0
17,Prepaye,11800.0,2,20.6,0,0
37,Annuel,10500.0,3,47.8,0,0
2,Prepaye,4500.0,1,40.5,1,0
47,Mensuel,5400.0,3,25.3,1,1
9,Mensuel,21800.0,0,47.6,0,0
34,Mensuel,23800.0,2,35.4,2,0
5,Prepaye,18500.0,2,8.8,2,1
18,Mensuel,12600.0,3,42.0,2,0
32,Prepaye,11400.0,1,48.1,1,0
7,Annuel,8900.0,2,1.0,2,0
11,Mensuel,12100.0,3,49.1,0,1
27,Mensuel,11500.0,2,41.1,1,0
8,Mensuel,13800.0,1,49.8,0,0
11,Prepaye,6700.0,1,0.5,3,1
2,Mensuel,23400.0,1,25.9,0,1
24,Mensuel,4500.0,0,49.7,0,1
6,Prepaye,11000.0,2,33.9,1,0
1,Mensuel,12600.0,4,27.2,2,1
11,Prepaye,11300.0,1,17.2,1,0
7,Prepaye,3600.0,0,28.0,0,0
12,Annuel,22800.0,1,5.8,1,0
9,Prepaye,5800.0,1,31.9,0,1
58,Prepaye,20900.0,1,47.8,0,0
5,Annuel,2300.0,6,14.6,0,1
12,Mensuel,5700.0,1,15.9,1,0
25,Prepaye,14600.0,0,19.2,0,1
8,Annuel,23900.0,1,9.4,0,0
4,Mensuel,4500.0,3,31.6,0,1
67,Annuel,22400.0,2,17.1,0,0
11,Prepaye,15700.0,2,10.2,0,0
25,Mensuel,18000.0,2,23.7,1,0
52,Prepaye,17700.0,0,34.7,0,1
23,Prepaye,10900.0,0,7.8,0,1
59,Prepaye,13100.0,0,15.7,1,0
6,Mensuel,14600.0,3,8.7,1,0
35,Prepaye,23900.0,3,13.2,1,0
61,Prepaye,9900.0,2,17.9,2,0
11,Prepaye,21500.0,3,37.2,2,1
13,Mensuel,12400.0,2,9.7,1,0
9,Mensuel,13100.0,0,48.4,2,0
55,Mensuel,18300.0,1,6.6,0,1
1,Annuel,7600.0,3,36.5,1,0
72,Mensuel,9900.0,1,44.9,0,0
41,Mensuel,11100.0,2,43.5,0,0
46,Prepaye,11900.0,0,35.5,1,0
6,Prepaye,9400.0,3,47.7,2,1
2,Mensuel,4800.0,1,28.4,1,0
24,Annuel,18700.0,3,33.5,1,0
19,Prepaye,13900.0,0,40.4,0,1
14,Mensuel,12100.0,1,17.7,2,0
33,Prepaye,12900.0,2,27.9,1,1
72,Mensuel,16100.0,1,21.7,0,0
44,Prepaye,6500.0,2,29.1,0,1
2,Mensuel,4700.0,0,22.2,1,0
1,Prepaye,15300.0,1,16.1,0,1
3,Mensuel,24200.0,4,31.7,1,0
8,Prepaye,23300.0,0,24.5,2,1
11,Annuel,14900.0,1,1.3,1,0
2,Mensuel,23400.0,1,29.3,1,0
26,Annuel,16300.0,0,15.8,0,0
35,Mensuel,8900.0,0,37.9,1,0
1,Prepaye,12800.0,0,49.2,0,1
6,Mensuel,11800.0,1,2.2,0,0
52,Prepaye,14400.0,3,46.8,3,0
8,Prepaye,18100.0,2,40.0,1,0
8,Prepaye,24600.0,3,40.2,0,0
5,Annuel,7000.0,2,30.6,0,0
7,Prepaye,8900.0,1,18.1,0,1
22,Annuel,5500.0,2,35.2,0,0
1,Mensuel,17200.0,0,18.7,1,0
58,Mensuel,15400.0,3,19.6,2,0
16,Prepaye,14600.0,2,41.4,1,0
18,Prepaye,12800.0,2,6.9,0,0
16,Prepaye,5800.0,2,49.4,1,0
15,Mensuel,24600.0,0,5.3,1,0
1,Prepaye,19800.0,0,23.7,1,1
37,Prepaye,19500.0,2,24.1,0,0
54,Prepaye,16100.0,3,14.3,1,0
8,Prepaye,11300.0,1,29.1,0,0
14,Mensuel,8000.0,1,15.5,2,0
58,Prepaye,20600.0,1,8.5,2,1
15,Mensuel,18900.0,2,26.9,0,0
72,Annuel,13500.0,1,27.4,1,0
23,Prepaye,19800.0,0,19.5,0,0
37,Prepaye,20300.0,1,40.6,0,1
17,Prepaye,2200.0,2,48.4,2,0
49,Mensuel,18500.0,1,23.2,0,0
7,Annuel,24000.0,1,44.8,1,0
18,Mensuel,8300.0,1,2.9,0,0
10,Prepaye,9400.0,0,15.8,1,0
21,Annuel,7600.0,3,34.0,0,0
33,Prepaye,21400.0,0,42.3,1,1
72,Prepaye,6600.0,1,27.5,0,0
7,Prepaye,11500.0,1,18.7,0,0
72,Mensuel,7600.0,0,16.2,0,0
37,Annuel,21400.0,2,3.5,1,0
10,Mensuel,19600.0,2,22.6,3,0
23,Annuel,5600.0,2,24.0,0,0
53,Mensuel,16500.0,1,12.0,1,0
17,Prepaye,7900.0,1,46.4,2,0
40,Mensuel,4600.0,3,23.2,1,0
3,Prepaye,8700.0,1,34.7,1,1
4,Annuel,14100.0,1,32.7,3,1
2,Prepaye,5100.0,1,47.2,2,1
32,Prepaye,16700.0,2,14.3,1,0
32,Mensuel,24400.0,1,41.2,1,1
26,Annuel,23000.0,1,18.4,2,1
14,Prepaye,23400.0,1,26.5,0,0
11,Prepaye,10200.0,3,16.1,0,0
1,Mensuel,22000.0,2,4.3,2,1
44,Annuel,7600.0,1,5.5,3,0
14,Prepaye,14600.0,0,38.0,1,0
5,Prepaye,15500.0,1,2.9,2,1
22,Prepaye,2600.0,3,33.9,0,1
4,Prepaye,17600.0,3,5.7,2,1
